customer_fname,customer_lname,email,city,age,mobile,customer_since,loyalty_tier
Vivaan,Sharma,vivaan.sharma0@mail.com,Hyderabad,33,9321819600,2026-06-13,Bronze
Sai,Patel,sai.patel1@mail.com,Mumbai,56,9083863794,2026-01-24,Bronze
Aditya,Iyer,aditya.iyer2@mail.com,Hyderabad,35,9235116155,2026-01-02,Bronze
Rahul,Sharma,rahul.sharma3@mail.com,Pune,52,9161849593,2026-06-04,Bronze
Vivaan,Sharma,vivaan.sharma4@mail.com,Bengaluru,36,9131647525,2026-06-30,Bronze
Sai,Singh,sai.singh5@mail.com,Chennai,56,9283276483,2026-04-01,Bronze
Priya,Sharma,priya.sharma6@mail.com,Bengaluru,20,9564139537,2026-06-25,Bronze
Lakshmi,Gupta,lakshmi.gupta7@mail.com,Bengaluru,34,9238849696,2026-04-12,Bronze
Sai,Reddy,sai.reddy8@mail.com,Mumbai,49,9101226916,2026-04-03,Bronze
Arjun,Gupta,arjun.gupta9@mail.com,Mumbai,34,9801845146,2026-04-08,Bronze
Kiran,Sharma,kiran.sharma10@mail.com,Hyderabad,50,9281489325,2026-02-10,Bronze
Meera,Das,meera.das11@mail.com,Chennai,56,9570154303,2026-02-11,Bronze
Vivaan,Kumar,vivaan.kumar12@mail.com,Pune,22,9822782489,2026-05-26,Bronze
Sai,Das,sai.das13@mail.com,Bengaluru,63,9465787133,2026-04-19,Bronze
Priya,Sharma,priya.sharma14@mail.com,Mumbai,53,9393010310,2026-01-17,Bronze
Vivaan,Das,vivaan.das15@mail.com,Bengaluru,35,9738299737,2026-03-26,Bronze
Sai,Kumar,sai.kumar16@mail.com,Chennai,60,9656670106,2026-04-15,Bronze
Priya,Kumar,priya.kumar17@mail.com,Bengaluru,30,9387262473,2026-07-06,Bronze
Kiran,Das,kiran.das18@mail.com,Chennai,21,9801326773,2026-01-20,Bronze
Aarav,Reddy,aarav.reddy19@mail.com,Pune,18,9647468723,2026-04-13,Bronze
Sai,Sharma,sai.sharma20@mail.com,Mumbai,65,9805009788,2026-03-17,Bronze
Aarav,Das,aarav.das21@mail.com,Chennai,29,9191361939,2026-02-10,Bronze
Aarav,Joshi,aarav.joshi22@mail.com,Chennai,44,9998543534,2026-06-02,Bronze
Aditya,Singh,aditya.singh23@mail.com,Pune,38,9107991183,2026-04-12,Bronze
Rahul,Reddy,rahul.reddy24@mail.com,Hyderabad,22,9354278498,2026-05-10,Bronze
Lakshmi,Das,lakshmi.das25@mail.com,Hyderabad,60,9124118244,2026-01-03,Bronze
Sai,Nair,sai.nair26@mail.com,Bengaluru,61,9487401640,2026-06-04,Bronze
Priya,Reddy,priya.reddy27@mail.com,Hyderabad,28,9786801128,2026-01-01,Bronze
Priya,Joshi,priya.joshi28@mail.com,Mumbai,27,9620450533,2026-01-10,Bronze
Vivaan,Nair,vivaan.nair29@mail.com,Mumbai,44,9923226025,2026-06-20,Bronze
Lakshmi,Patel,lakshmi.patel30@mail.com,Hyderabad,28,9160733754,2026-04-16,Bronze
Sai,Sharma,sai.sharma31@mail.com,Bengaluru,43,9541458685,2026-02-28,Bronze
Vivaan,Singh,vivaan.singh32@mail.com,Bengaluru,55,9401965569,2026-01-08,Bronze
Vivaan,Iyer,vivaan.iyer33@mail.com,Mumbai,30,9406088356,2026-05-11,Bronze
Lakshmi,Nair,lakshmi.nair34@mail.com,Mumbai,38,9148465648,2026-01-18,Bronze
Sai,Iyer,sai.iyer35@mail.com,Pune,61,9299468044,2026-02-02,Bronze
Ananya,Joshi,ananya.joshi36@mail.com,Mumbai,59,9577738721,2026-02-23,Bronze
Meera,Joshi,meera.joshi37@mail.com,Hyderabad,23,9343320037,2026-03-14,Bronze
Vivaan,Gupta,vivaan.gupta38@mail.com,Pune,58,9936763201,2026-06-06,Bronze
Sai,Reddy,sai.reddy39@mail.com,Mumbai,47,9083172788,2026-04-19,Bronze
Priya,Gupta,priya.gupta40@mail.com,Mumbai,64,9868727743,2026-06-02,Bronze
Rahul,Das,rahul.das41@mail.com,Pune,58,9347143455,2026-06-13,Bronze
Vivaan,Reddy,vivaan.reddy42@mail.com,Bengaluru,32,9623166587,2026-05-19,Bronze
Aarav,Patel,aarav.patel43@mail.com,Pune,42,9909670546,2026-04-17,Bronze
Meera,Das,meera.das44@mail.com,Mumbai,32,9734670656,2026-04-18,Bronze
Aditya,Gupta,aditya.gupta45@mail.com,Bengaluru,57,9806990162,2026-07-05,Bronze
Aditya,Sharma,aditya.sharma46@mail.com,Hyderabad,42,9537556464,2026-04-29,Bronze
Kiran,Sharma,kiran.sharma47@mail.com,Mumbai,21,9531003309,2026-01-21,Bronze
Sai,Reddy,sai.reddy48@mail.com,Pune,60,9193745299,2026-02-09,Bronze
Sneha,Kumar,sneha.kumar49@mail.com,Bengaluru,37,9190496631,2026-07-11,Bronze
Sneha,Patel,sneha.patel50@mail.com,Chennai,62,9491905865,2026-06-01,Bronze
Meera,Nair,meera.nair51@mail.com,Chennai,44,9716572628,2026-01-18,Bronze
Rahul,Joshi,rahul.joshi52@mail.com,Mumbai,48,9769453147,2026-06-16,Bronze
Kiran,Joshi,kiran.joshi53@mail.com,Mumbai,60,9650752735,2026-03-04,Bronze
Priya,Singh,priya.singh54@mail.com,Mumbai,62,9480831367,2026-03-08,Bronze
Sai,Gupta,sai.gupta55@mail.com,Pune,46,9014363495,2026-05-23,Bronze
Meera,Das,meera.das56@mail.com,Hyderabad,45,9855744431,2026-05-02,Bronze
Sai,Nair,sai.nair57@mail.com,Chennai,65,9823374989,2026-07-04,Bronze
Vivaan,Patel,vivaan.patel58@mail.com,Hyderabad,32,9524082400,2026-03-14,Bronze
Rahul,Reddy,rahul.reddy59@mail.com,Pune,24,9094777520,2026-05-22,Bronze
Kiran,Kumar,kiran.kumar60@mail.com,Chennai,43,9719022941,2026-03-06,Bronze
Vivaan,Das,vivaan.das61@mail.com,Pune,56,9993867749,2026-03-05,Bronze
Rahul,Joshi,rahul.joshi62@mail.com,Mumbai,21,9913341232,2026-04-20,Bronze
Vivaan,Reddy,vivaan.reddy63@mail.com,Chennai,44,9797403447,2026-05-22,Bronze
Lakshmi,Patel,lakshmi.patel64@mail.com,Hyderabad,58,9936183242,2026-01-19,Bronze
Aarav,Reddy,aarav.reddy65@mail.com,Hyderabad,56,9947174648,2026-01-19,Bronze
Kiran,Gupta,kiran.gupta66@mail.com,Chennai,56,9065940139,2026-05-19,Bronze
Aarav,Singh,aarav.singh67@mail.com,Mumbai,20,9278742967,2026-05-31,Bronze
Kiran,Nair,kiran.nair68@mail.com,Pune,39,9512567468,2026-01-24,Bronze
Kiran,Kumar,kiran.kumar69@mail.com,Hyderabad,34,9516808760,2026-01-10,Bronze
Meera,Nair,meera.nair70@mail.com,Mumbai,49,9703482477,2026-02-18,Bronze
Aarav,Joshi,aarav.joshi71@mail.com,Bengaluru,63,9248086131,2026-02-01,Bronze
Vivaan,Reddy,vivaan.reddy72@mail.com,Pune,63,9484677378,2026-04-29,Bronze
Ananya,Patel,ananya.patel73@mail.com,Mumbai,50,9214658404,2026-02-07,Bronze
Rahul,Joshi,rahul.joshi74@mail.com,Mumbai,60,9727875588,2026-07-05,Bronze
Kiran,Nair,kiran.nair75@mail.com,Bengaluru,62,9396360576,2026-04-07,Bronze
Lakshmi,Reddy,lakshmi.reddy76@mail.com,Pune,20,9289517187,2026-04-09,Bronze
